Id,ActivityDate,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,DailyCalories,ActiveMinutes,CaloriesPerStep,StepDensity,ActivityFlag,DailyStepTotal,FlagStep,HourlyStepTotal,AverageIntensity,TotalIntensity,TotalMinutesAsleep,TotalSleepRecords,TotalTimeInBed,MinutesValue,SedentaryRatio,HourlyValue,HourlyCalories,MinutesCalories,BMI,Fat,IsManualReport,WeightKg,WeightPounds
1503960366,4/12/2016,13162,8.5,1.879999995,0.550000012,6.059999943,0,25,13,328,728,1985,366,0,1548.470588,Active,13162,StepsRecorded,160,0.133333,8,327,1,346,3,0,NULL,61,0.9438,NULL,NULL,NULL,NULL,NULL
1927972279,4/12/2016,678,0.469999999,0,0,0.469999999,0,0,0,55,734,2220,55,3,1442.553195,Active,678,StepsRecorded,0,0,0,750,3,775,NULL,0,NULL,85,1.406,NULL,NULL,NULL,NULL,NULL
2026352035,4/12/2016,4414,2.74000001,0.189999998,0.349999994,2.200000048,0,3,8,181,706,1459,192,0,1610.9489,Active,4414,StepsRecorded,0,0,0,503,1,546,NULL,0,NULL,47,0.7751,NULL,NULL,NULL,NULL,NULL
3977333714,4/12/2016,8856,5.980000019,3.059999943,0.910000026,2.00999999,0,44,19,131,777,1450,194,0,1480.93645,Active,8856,StepsRecorded,0,0,0,274,1,469,1,0,NULL,42,0.7027,NULL,NULL,NULL,NULL,NULL
4020332650,4/12/2016,8539,6.119999886,0.150000006,0.239999995,5.679999828,0,4,15,331,712,3654,350,0,1395.261464,Active,8539,StepsRecorded,0,0,0,501,1,541,NULL,0,70,83,1.3754,NULL,NULL,NULL,NULL,NULL
4445114986,4/12/2016,3276,2.200000048,0,0,2.200000048,0,0,0,196,787,2113,196,0,1489.090877,Active,3276,StepsRecorded,88,0.116667,7,429,2,457,1,0,NULL,85,2.75856,NULL,NULL,NULL,NULL,NULL
4702921684,4/12/2016,7213,5.880000114,0,0,5.849999905,0,0,0,263,718,2947,263,0,1226.700656,Active,7213,StepsRecorded,0,0,0,425,1,439,NULL,0,NULL,85,1.4008,NULL,NULL,NULL,NULL,NULL
5553957443,4/12/2016,11596,7.570000172,1.370000005,0.790000021,5.409999847,0,19,13,277,767,2026,309,0,1531.836161,Active,11596,StepsRecorded,0,0,0,441,1,464,NULL,0,56,55,0.916,NULL,NULL,NULL,NULL,NULL
5577150313,4/12/2016,8135,6.079999924,3.599999905,0.379999995,2.099999905,0,86,16,140,728,3405,242,0,1337.993438,Active,8135,StepsRecorded,0,0,0,419,1,438,NULL,0,54,78,1.2884,NULL,NULL,NULL,NULL,NULL
6962181067,4/12/2016,10199,6.739999771,3.400000095,0.829999983,2.50999999,0,50,14,189,796,1994,253,0,1513.204799,Active,10199,StepsRecorded,0,0,0,366,1,387,1,0,79,55,0.904,24.39,0,TRUE,62.5,137.789
